Date,AAPL,AAPL/FB,AMZN,AMZN/AAPL,AMZN/FB,FB,ln(AAPL),ln(AMZN),ln(FB)
2013-03-04,56.394298221482,2.0344263427663063,273.11,4.842865477772105,9.852453102453103,27.72,4.032368058029738,5.609874644433234,3.3221541743217022
2013-03-05,57.883736013338,2.103333430717224,275.59,4.761095585407557,10.014171511627906,27.52,4.058436447249943,5.618914254010959,3.314913013065143
2013-03-06,57.147743767533996,2.0818850188536975,273.79,4.790915300413696,9.974134790528234,27.45,4.045639910328235,5.612361389177871,3.3123661679555396
2013-03-07,57.808284053808,2.0226831369421974,273.88,4.737729280202682,9.582925122463262,28.58,4.057132088138853,5.612690054252862,3.3527071725017215
2013-03-08,57.961067559048004,2.0729995550446354,274.19,4.730589196285388,9.806509298998568,27.96,4.059771536176024,5.613821296733053,3.3307749173656096
2013-03-11,58.786742916892,2.08908112711059,271.24,4.6139654374704415,9.638948116560057,28.14,4.073916368887446,5.603004037815642,3.337192051686243
2013-03-12,57.51936480664099,2.0668115273676246,274.13,4.765873213682462,9.850161696011499,27.83,4.052121670351834,5.613602446425789,3.326114575537799
2013-03-13,57.508624314181006,2.1236567324291364,275.1,4.783630338591899,10.158788774002955,27.08,4.051934924628932,5.617134667930529,3.298795448044074
2013-03-14,58.065787360531,2.1474033787178626,265.74,4.576533137319192,9.82766272189349,27.04,4.061576632590819,5.582518387163162,3.2973172511747633
2013-03-15,59.564086058666,2.2350501335334334,261.82,4.395601734611149,9.824390243902439,26.65,4.087052809536968,5.567657244751953,3.2827891506118534
2013-03-18,61.183215296974,2.3096721516411476,257.89,4.215044906486873,9.735371838429597,26.49,4.113872892048803,5.552533137416657,3.2767673032839784
2013-03-19,61.018080225404994,2.298232776851412,256.41,4.202197103756851,9.657627118644069,26.55,4.111170217394144,5.546777725846036,3.279029747687948
2013-03-20,60.694522890055,2.347042648494006,257.28,4.238932736419223,9.948955916473317,25.86,4.1058534615404705,5.550164985990602,3.2526973733437115
2013-03-21,60.781789391291,2.3613748792265348,253.39,4.1688473231475225,9.844211344211343,25.74,4.10729022751746,5.53492980380921,3.2480462021679806
2013-03-22,62.014260901047,2.4101928061036535,257.75,4.156302054639957,10.017489312087058,25.73,4.12736437312882,5.551990122897069,3.2476576262936527
2013-03-25,62.238468681144,2.476660114649582,256.02,4.113533083720692,10.187823318742538,25.13,4.13097327611541,5.545255566427963,3.2240623515555007
2013-03-26,61.91034663649901,2.455785269198691,260.31,4.204628372190945,10.325664418881397,25.21,4.1256873165543775,5.561873228473508,3.2272407411998283
2013-03-27,60.694522890055,2.326351969722307,265.3,4.371069865407415,10.168646991184362,26.09,4.1058534615404705,5.580861261143694,3.261552099148637
2013-03-28,59.429829902918996,2.3232928030851836,266.49,4.484111774092607,10.41790461297889,25.58,4.084796287232777,5.585336719449719,3.2418107961506966
2013-04-01,57.5838077614,2.25553496911085,261.61,4.54311741738212,10.247160203681943,25.53,4.053241412928074,5.566854845152132,3.2398542312533927
2013-04-02,57.702221690768006,2.269953646371676,263.32,4.563429141622281,10.358772619984263,25.42,4.055295676945543,5.573370022599676,3.2355362657613083
2013-04-03,57.9973167211,2.2094215893752382,259.03,4.4662411063883285,9.867809523809523,26.25,4.060396746046924,5.556943885107578,3.2676659890376327
2013-04-04,57.424042936061,2.121316695089065,259.08,4.511699050665476,9.570742519394162,27.07,4.050463082107344,5.557136894314716,3.29842610362621
2013-04-05,56.817205112085,2.0743776966807226,255.48,4.496525295392601,9.32749178532311,27.39,4.039839186762976,5.543144128693388,3.3101779832749867
2013-04-08,57.221316140883,2.1311477147442455,258.95,4.525411463141576,9.644320297951582,26.85,4.04692648877098,5.556634992869901,3.2902658209548736
2013-04-09,57.324693380808,2.1558741399326062,261.14,4.5554539344021725,9.82098533283189,26.59,4.0487314799430605,5.5650566619798925,3.2805352052549286
2013-04-10,58.494064497363006,2.1216563111121873,264.77,4.52644216597286,9.603554588320637,27.57,4.068925287506698,5.578861524593351,3.3167282250357055
2013-04-11,58.311476125548,2.0810662428817985,269.85,4.627733988743438,9.630620985010708,28.02,4.06579892004909,5.597866249064652,3.332918540908861
2013-04-12,57.703295740014,2.1059596985406572,272.87,4.728846013049822,9.958759124087592,27.4,4.0553142904272885,5.6089954912940785,3.3105430133940246
2013-04-15,56.367446990333,2.1254693435268854,267.72,4.749549860683134,10.09502262443439,26.52,4.031891810848461,5.5899416582324415,3.277899165317662
2013-04-16,57.225343825555,2.1257557141736627,272.34,4.7590801870967825,10.116641901931647,26.92,4.046996874130847,5.607051285696429,3.2928695047765273
2013-04-17,54.078379534848004,2.030731488353286,267.4,4.944674790554475,10.041306796845662,26.63,3.990434467063287,5.588745664667843,3.282038399825841
2013-04-18,52.635125860569,2.048856592470572,259.42,4.928647851763598,10.098092643051771,25.69,3.9633836888958123,5.558448369912527,3.2461018111217923
2013-04-19,52.431056503834,2.037740244999378,260.32,4.964996270501706,10.117372716673144,25.73,3.959499097131637,5.561911643470728,3.2476576262936527
2013-04-22,53.523901611614,2.060989665445283,263.55,4.923968396631479,10.14824797843666,25.97,3.9801283132304186,5.574243103301216,3.256942025674657
2013-04-23,54.525452533485,2.098747210680716,268.9,4.931641783896501,10.350269438029253,25.98,3.9986676116128113,5.5943395632748185,3.2573270112424533
2013-04-24,54.435769421446,2.0848628656241286,268.78,4.937562247335647,10.29414017617771,26.11,3.997021463915825,5.593893201118918,3.2623183827110376
2013-04-25,54.827528883915996,2.097457111090895,274.7,5.0102568106180865,10.508798775822493,26.14,4.004192419713775,5.615679593101228,3.2634667081960758
2013-04-26,56.012339458381994,2.0861206502190686,254.81,4.549176171963459,9.490130353817504,26.85,4.025572013933318,5.540518169395703,3.2902658209548736
2013-04-29,57.746257709853,2.1403357194163455,249.74,4.324782417153726,9.25648628613788,26.98,4.056058545741204,5.5204203766869995,3.2950958507796098
2013-04-30,59.445940641609,2.140653246006806,253.81,4.26959347031253,9.139719121353979,27.77,4.085067338914963,5.536585955607315,3.323956301318708
2013-05-01,58.977386658052,2.1501052372603717,248.23,4.208901310585791,9.049580751002551,27.43,4.077154093454154,5.5143557357322,3.311637304949512
2013-05-02,59.813802508354996,2.064680790761305,252.55,4.22226960014326,8.717638936831205,28.97,4.091236445500289,5.531609248914061,3.366260811781259
2013-05-03,60.412584962987005,2.133966265029566,258.05,4.271460990422766,9.11515365595196,28.31,4.101197443551128,5.553153364594737,3.343215099123808
2013-05-06,61.853153514151,2.2434948681229963,255.72,4.1343082037279695,9.275299238302503,27.57,4.1247630840245995,5.544083095898526,3.3167282250357055
